model,training,eval_lang,step,pred_langs,emb_cos_sim
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",deu_Latn,Labels,{'deu_Latn': 1.0},
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",deu_Latn,Step1,"{'deu_Latn': 0.87, 'jpn_Jpan': 0.07}",0.929771900177002
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",deu_Latn,Step50+sbeam8,"{'deu_Latn': 0.82, 'cmn_Hani': 0.07}",0.913244366645813
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",deu_Latn,Base,"{'deu_Latn': 0.86, 'jpn_Jpan': 0.09}",0.9107338190078735
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",ydd_Hebr,Labels,{'heb_Hebr': 0.99},
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",ydd_Hebr,Step1,"{'cmn_Hani': 0.89, 'eng_Latn': 0.06}",0.8599162101745605
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",ydd_Hebr,Step50+sbeam8,"{'cmn_Hani': 0.87, 'eng_Latn': 0.06}",0.8288113474845886
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",ydd_Hebr,Base,"{'cmn_Hani': 0.66, 'jpn_Jpan': 0.24, 'eng_Latn': 0.07}",0.8716102838516235
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",heb_Hebr,Labels,{'heb_Hebr': 1.0},
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",heb_Hebr,Step1,{'cmn_Hani': 0.93},0.8794465065002441
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",heb_Hebr,Step50+sbeam8,{'cmn_Hani': 0.94},0.8632059693336487
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",heb_Hebr,Base,"{'jpn_Jpan': 0.22, 'cmn_Hani': 0.67, 'eng_Latn': 0.08}",0.887262225151062
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",arb_Arab,Labels,{'arb_Arab': 1.0},
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",arb_Arab,Step1,"{'cmn_Hani': 0.86, 'eng_Latn': 0.08}",0.8375802040100098
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",arb_Arab,Step50+sbeam8,"{'cmn_Hani': 0.87, 'eng_Latn': 0.08}",0.8713959455490112
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",arb_Arab,Base,"{'jpn_Jpan': 0.28, 'cmn_Hani': 0.56, 'eng_Latn': 0.13}",0.8598607182502747
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Labels,"{'amh_Ethi': 0.81, 'eng_Latn': 0.14}",
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Step1,"{'cmn_Hani': 0.68, 'eng_Latn': 0.07, 'jpn_Jpan': 0.13}",0.8526914119720459
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Step50+sbeam8,"{'cmn_Hani': 0.73, 'eng_Latn': 0.11}",0.8520728349685669
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",amh_Ethi,Base,"{'cmn_Hani': 0.1, 'jpn_Jpan': 0.64, 'eng_Latn': 0.1}",0.8576359748840332
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Labels,"{'eng_Latn': 0.13, 'deu_Latn': 0.19, 'mlt_Latn': 0.24, 'fin_Latn': 0.11}",
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Step1,"{'eng_Latn': 0.29, 'cmn_Hani': 0.37}",0.8964741230010986
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.31, 'cmn_Hani': 0.32}",0.9194412231445312
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mlt_Latn,Base,"{'jpn_Jpan': 0.11, 'eng_Latn': 0.33, 'cmn_Hani': 0.2}",0.8905705213546753
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Labels,"{'hin_Deva': 0.72, 'eng_Latn': 0.24}",
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Step1,"{'cmn_Hani': 0.63, 'eng_Latn': 0.23, 'jpn_Jpan': 0.08}",0.8752604126930237
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Step50+sbeam8,"{'cmn_Hani': 0.69, 'eng_Latn': 0.24}",0.8904078006744385
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hin_Deva,Base,"{'cmn_Hani': 0.12, 'eng_Latn': 0.24, 'jpn_Jpan': 0.56}",0.8870844841003418
